MatchID,Windranger,GPM,XPM,Damage,Blademail,KillingItem,GhostEblade,HeroCounter,Win,Notes,NotBanned
5399949220,0,571,719,18.4,0,1,1,0.0,0,"waga played templar, wk radiance",0
5398945275,1,464,626,25.3,0,0,1,1.0,1,ember,1
5398865608,1,445,505,20.8,0,0,1,0.0,0,,1
5398790769,1,514,656,41.2,0,0,0,0.0,1,,1
5398712433,0,668,719,29.0,0,0,1,0.0,1,waga played sven,0
5398643628,1,200,317,9.6,1,0,0,0.0,0,axe,1
5398522715,1,397,542,21.3,1,1,0,1.0,0,centaur,1
5398468917,0,549,431,5.8,0,0,0,0.0,1,"waga played terrorblade, enemy team sold items, DUMP GAME?",1
5398386284,1,511,651,22.4,0,0,0,1.0,1,shadow demon,1
5398298814,1,647,860,20.5,0,0,0,1.0,1,"tinker, tinker sold items",1
5398196660,1,426,531,27.6,1,0,0,0.0,0,,1
5398100286,1,396,523,27.1,0,1,0,1.0,0,"shadow demon, ember",1
5396741334,1,541,754,35.0,0,0,1,0.0,1,,1
5396632766,0,321,518,19.0,1,0,1,0.0,1,waga played rubick,0
5396511484,0,269,417,21.7,0,1,1,0.0,0,"waga played lich, pugna ghost",1
5396342700,0,569,669,22.0,0,0,0,0.0,1,waga played queen of pain,1
5396242365,1,480,615,22.4,1,0,1,1.0,1,tinker,1
5396109335,1,375,459,14.6,0,0,0,1.0,0,mars,1
5395218162,1,493,773,58.5,0,1,1,0.0,0,,1
5395179092,1,474,600,15.7,0,0,0,0.0,1,,1
5395121420,1,22,323,442.0,1,0,0,1.0,0,ember,1
5395050726,1,540,751,40.2,0,0,1,0.0,1,pugna ghost,1
5394982312,1,535,776,22.3,0,0,0,0.0,1,,1
5394891014,1,426,486,22.2,1,0,1,1.0,0,centaur,1
5394778290,1,527,611,67.5,1,0,1,0.0,1,necro ghost,1
5394723200,0,254,247,3.2,0,0,0,0.0,1,,0
5393102615,1,460,619,44.7,1,0,1,0.0,1,necro ghost,1
5393039237,1,294,438,15.6,1,0,0,0.0,1,,1
5392988496,1,304,370,7.8,0,0,0,1.0,1,centaur,1
5390669690,1,578,735,34.6,0,0,0,1.0,1,shadow demon,1
5390615243,1,300,365,8.6,0,0,0,0.0,1,,1
5390534561,0,270,352,14.7,1,1,0,0.0,0,waga played kotl,0
